Date from:;2016-10-01;;;;
Date to:;2016-10-31;;;;
Entry type:;All bookings;;;;
Account:;CH9509000000141901111;;;;
Currency:;CHF;;;;
Booking details:;Yes;;;;
Booking date;Notification text;Credit;Debit;Value;Balance
2016-10-31;TRANSFERT DU COMPTE 12-331111-7 JOHN SMITH ZÜRICH;108.55;;2016-10-31;198.81
2016-10-26;VIREMENT DE SIC ONLINE 8726 DONNEUR D'ORDRE: PAYPAL PTE LTD 89 NEIL ROAD, 03-01 088842 SINGAPORE 161026CH01ADVPWU COMMUNICATIONS: 4ZBPPWT49U4VQ /RFB/4ZBPPWT49U4VQ;0.18;;2016-10-26;90.26
2016-10-26;VIREMENT DE SIC ONLINE 8726 DONNEUR D'ORDRE: PAYPAL PTE LTD 89 NEIL ROAD, 03-01 088842 SINGAPORE 161026CH01ADVP5A COMMUNICATIONS: 4ZBVDTKLR54VQ /RFB/4ZBVDTKLR54VQ;0.08;;2016-10-26;
2016-10-25;RECHARGE CRÉDIT DE PREPAID POSTFINANCE MOBILE SERVICE RAPIDE DU 24.10.2016 DU NUMERO MOBILE +41771111051 MAPP +41771111051 NUMERO CIBLE: SP RELOAD;;-10;2016-10-24;90
2016-10-19;"VIREMENT DU COMPTE 85-261111-2 X-MAN ÜBERSETZUNGEN VON MATT XYZ &amp; ÜBERSETZUNGEN STRASSE 2 8000 ZG COMMUNICATIONS: RECHNUNGSNR.: INV-1114 WEB-DEVELOPMENT PROJEKT";100;;2016-10-19;100
;;;;;
Disclaimer:;;;;;
This is not a document created by PostFinance Ltd. PostFinance Ltd is not responsible for the content.;;;;;
